BindingDB Reactant_set_id,Ligand SMILES,Ligand InChI,Ligand InChI Key,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Target Source Organism According to Curator or DataSource,IC50 (nM)
2,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C\C=C\c2cn[nH]c2)C(=O)N(C\C=C\c2cn[nH]c2)[C@@H]1Cc1ccccc1,"InChI=1S/C31H34N6O3/c38-29-27(17-23-9-3-1-4-10-23)36(15-7-13-25-19-32-33-20-25)31(40)37(16-8-14-26-21-34-35-22-26)28(30(29)39)18-24-11-5-2-6-12-24/h1-14,19-22,27-30,38-39H,15-18H2,(H,32,33)(H,34,35)/b13-7+,14-8+/t27-,28-,29+,30+/m1/s1",UZLMEAPBHYEHAC-UNTBESQGSA-N,22,"(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1,3-bis[(2E)-3-(1H-pyrazol-4-yl)prop-2-en-1-yl]-1,3-diazepan-2-one::DMPC Cyclic Urea 2",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
3,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C(=O)N(C\C=C\c2cn[nH]c2)[C@@H]1Cc1ccccc1,"InChI=1S/C29H34N4O3/c34-27-25(16-21-8-3-1-4-9-21)32(15-7-12-24-18-30-31-19-24)29(36)33(20-23-13-14-23)26(28(27)35)17-22-10-5-2-6-11-22/h1-12,18-19,23,25-28,34-35H,13-17,20H2,(H,30,31)/b12-7+/t25-,26-,27+,28+/m1/s1",HYNYUFZPPJMPOB-UTWJFGBXSA-N,23,"(4R,5S,6S,7R)-4,7-dibenzyl-1-(cyclopropylmethyl)-5,6-dihydroxy-3-[(2E)-3-(1H-pyrazol-4-yl)prop-2-en-1-yl]-1,3-diazepan-2-one::DMPC Cyclic Urea 3",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
4,OCCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C1=O,"InChI=1S/C29H40N2O4/c32-18-10-2-1-9-17-30-25(19-22-11-5-3-6-12-22)27(33)28(34)26(20-23-13-7-4-8-14-23)31(29(30)35)21-24-15-16-24/h3-8,11-14,24-28,32-34H,1-2,9-10,15-21H2/t25-,26-,27+,28+/m1/s1",YXVAZXDWVZTGGD-VIJSPRBVSA-N,24,"(4R,5S,6S,7R)-4,7-dibenzyl-1-(cyclopropylmethyl)-5,6-dihydroxy-3-(6-hydroxyhexyl)-1,3-diazepan-2-one::DMPC Cyclic Urea 4",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
5,OCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C1=O,"InChI=1S/C28H38N2O4/c31-17-9-3-8-16-29-24(18-21-10-4-1-5-11-21)26(32)27(33)25(19-22-12-6-2-7-13-22)30(28(29)34)20-23-14-15-23/h1-2,4-7,10-13,23-27,31-33H,3,8-9,14-20H2/t24-,25-,26+,27+/m1/s1",WWTSWTPNILRSJX-XDZXDJIYSA-N,25,"(4R,5S,6S,7R)-4,7-dibenzyl-1-(cyclopropylmethyl)-5,6-dihydroxy-3-(5-hydroxypentyl)-1,3-diazepan-2-one::DMPC Cyclic Urea 5",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
6,CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CC2)C1=O,"InChI=1S/C27H36N2O3/c1-2-3-16-28-23(17-20-10-6-4-7-11-20)25(30)26(31)24(18-21-12-8-5-9-13-21)29(27(28)32)19-22-14-15-22/h4-13,22-26,30-31H,2-3,14-19H2,1H3/t23-,24-,25+,26+/m1/s1",QDUGHFLRTUTUJH-XPGKHFPBSA-N,26,"(4R,5S,6S,7R)-4,7-dibenzyl-1-butyl-3-(cyclopropylmethyl)-5,6-dihydroxy-1,3-diazepan-2-one::DMPC Cyclic Urea 6",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
7,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(CC2CCC2)C(=O)N(CC2CCC2)[C@@H]1Cc1ccccc1,"InChI=1S/C29H38N2O3/c32-27-25(17-21-9-3-1-4-10-21)30(19-23-13-7-14-23)29(34)31(20-24-15-8-16-24)26(28(27)33)18-22-11-5-2-6-12-22/h1-6,9-12,23-28,32-33H,7-8,13-20H2/t25-,26-,27+,28+/m1/s1",ACIVSSKFPCODPQ-VIJSPRBVSA-N,27,"(4R,5S,6S,7R)-4,7-dibenzyl-1,3-bis(cyclobutylmethyl)-5,6-dihydroxy-1,3-diazepan-2-one::CHEMBL287355::DMPC Cyclic Urea 7",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
8,OCCCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCCCO)C1=O,"InChI=1S/C29H42N2O5/c32-19-11-3-9-17-30-25(21-23-13-5-1-6-14-23)27(34)28(35)26(22-24-15-7-2-8-16-24)31(29(30)36)18-10-4-12-20-33/h1-2,5-8,13-16,25-28,32-35H,3-4,9-12,17-22H2/t25-,26-,27+,28+/m1/s1",IXMFJRZMSUIMQY-VIJSPRBVSA-N,28,"(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1,3-bis(5-hydroxypentyl)-1,3-diazepan-2-one::DMPC Cyclic Urea 8",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
9,CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CCCC)C1=O,"InChI=1S/C27H38N2O3/c1-3-5-17-28-23(19-21-13-9-7-10-14-21)25(30)26(31)24(20-22-15-11-8-12-16-22)29(27(28)32)18-6-4-2/h7-16,23-26,30-31H,3-6,17-20H2,1-2H3/t23-,24-,25+,26+/m1/s1",USVBEQBEZXWMMT-XPGKHFPBSA-N,29,"(4R,5S,6S,7R)-4,7-dibenzyl-1,3-dibutyl-5,6-dihydroxy-1,3-diazepan-2-one::CHEMBL284472::DMPC Cyclic Urea 9",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
10,CC(C)=CCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C(C)C)C1=O,"InChI=1S/C29H38N2O3/c1-21(2)15-17-30-25(19-23-11-7-5-8-12-23)27(32)28(33)26(20-24-13-9-6-10-14-24)31(29(30)34)18-16-22(3)4/h5-16,25-28,32-33H,17-20H2,1-4H3/t25-,26-,27+,28+/m1/s1",AJMLQZYOPGTFTI-VIJSPRBVSA-N,30,"(4R,5S,6S,7R)-4,7-dibenzyl-5,6-dihydroxy-1,3-bis(3-methylbut-2-en-1-yl)-1,3-diazepan-2-one::DMPC Cyclic Urea 10",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
11,CCCCN1[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N(CC=C(C)C)C1=O,"InChI=1S/C28H38N2O3/c1-4-5-17-29-24(19-22-12-8-6-9-13-22)26(31)27(32)25(20-23-14-10-7-11-15-23)30(28(29)33)18-16-21(2)3/h6-16,24-27,31-32H,4-5,17-20H2,1-3H3/t24-,25-,26+,27+/m1/s1",BBKCIKXZHYLMAG-XDZXDJIYSA-N,31,"(4R,5S,6S,7R)-4,7-dibenzyl-1-butyl-5,6-dihydroxy-3-(3-methylbut-2-en-1-yl)-1,3-diazepan-2-one::DMPC Cyclic Urea 11",Dimer of Gag-Pol polyprotein [501-599],Human immunodeficiency virus 1,
